檔名,中文,客語漢字,客語拼音,標籤,備註
2l38cucdi6.wav,看來是時候了,䀴起來係時務啊,ngiang31 ki31 loi53 he55 shi53 bbu55 a33,,
53lmtp8ifj.wav,抓到了,捉著啊,zoo24 choo55 a33,,
y5hztjia78.wav,我們走,𫣆人行,een11 ngin53 hang53,,
i114u0uagh.wav,我們現在要合體了,𫣆人這滿討合體啊,een11 ngin53 li24 man31 too31 hab43 te31 a11,,
wc0qu2oae1.wav,這裡是自由長尾有特別要事報導有消息說當地震在各處發生時確定有人看到在五王國的官方總部安納波利斯的上空,跡係自由長尾有特別个事情報導有消息講當地動在滿哪位發生个時確定有人䀴著在五王國个官方總部安納波利斯个天崠,zia24 he55 cu55 rhiu53 chong53 mui11 rhiu11 ted43 pied43 e55 su55 cin53 boo31 too55 rhiu11 sio11 sid24 gong31 dong11 ti55 tung11 da55 man31 na55 bbi55 fad24 sen11 e55 shi53 koo24 ten55 rhiu11 ngin53 ngiang31 choo55 da55 m31 ong53 gud24 e55 guan11 fong11 zung31 pu55 on11 nab43 poo11 li55 su11 e55 teen11 dung31,,
jnz5wjk0wx.wav,出現了奇怪的符號這個符號和議會及五王國英雄的會議有關係嗎現在還在調查請問可以按照時間表做事嗎當然可以,出現怪奇个符號這個符號和議會和五王國英雄个會議有關係無現時猶在調查請問會用照時間表做事無啊吓當然會用啊,chid24 hien55 guai31 ki53 e55 pu53 hoo55 li24 gai31 pu53 hoo55 ham55 ngi55 fue55 ham55 m31 ong53 gud24 en11 hiung53 e55 fue55 ngi55 rhiu11 guan11 he11 mo53 hien55 shi53 ia53 da55 deeu31 za11 ciang31 mun31 bbue55 rhung55 zhio31 shi53 geen11 bio31 zoo31 she55 mo53 a11 hann24 dong11 rhen53 bbue55 rhung55 a33,,
7a6ipmmaft.wav,如你所知我們每個王國都遇到神祕地震的傷害而且情況越來越嚴重了所以議會把所有五王國的英雄都叫過來了路卡森林王國的英雄,就你知个啊𫣆逐個王國攏堵著神祕地動个傷害而且情況愈來愈嚴重哦所以議會拁歸下五王國个英雄攏喊過來啊路卡森林王國个英雄,ciu55 hen53 di11 e11 a11 een11 tu55 gai31 ong53 gud24 lung31 du31 choo55 shin53 bi31 ti55 tung11 e55 shong11 hoi55 rhi53 cia31 cin53 kong31 lu31 loi53 lu31 ngiam53 chung11 o24 su31 rhi31 ngi55 fui55 ga11 gui11 ha55 m31 ong53 gud24 e55 en11 hiung53 lung31 heem31 goo31 loi53 a11 lu55 ka31 sem11 na53 ong53 gud24 e55 en11 hiung53,,
hpudsj2i30.wav,狼之守護者路卡報到諾文 冰之王國的英雄熊之守護者達里拉叢林王國的英雄猿猴之守護者大家好,狼个守護者路卡報到諾文 冰之王國个英雄熊个守護者達里拉叢林王國个英雄猴个守護者大家好,long53 e55 shiu31 fu55 zha31 lu55 ka31 boo31 doo31 no55 bbun53 bin11 zhi11 ong53 gud24 e55 en11 hiung53 him53 e55 shiu31 fu55 zha31 tad43 li31 la11 cung53 lim53 ong53 gud24 e55 en11 hiung53 heu53 e55 shiu31 fu55 zha31 tai55 ga11 hoo31,,
u8vjyax0pg.wav,提絜居住在峽谷王國地底下獾的守護者提絜向大家問好還有咪登他的任務是負責保護平原王國的貓伙伴,提絜蹛在峽谷王國个泥下底獾个守護者提絜向大家問好猶有咪登佢个任務係負責保護平原王國个貓伙伴,te55 gied24 dai31 de55 giab43 gu24 ong53 gud24 e55 ni53 ha11 de31 huan11 e55 shiu31 fu55 zha31 te55 gied24 hiong31 tai55 ga11 mun31 hoo31 ia53 rhiu11 mi11 din11 gui53 e55 rhim55 bbu55 he55 fu55 zid24 boo31 fu55 pin53 ngien53 ong53 gud24 e55 ngiau31 foo31 pan11,,
jye6pg6gwh.wav,趕快解決吧你們都為了自己的王國才來這裡的這些地震的嚴重程度不是單單一位英雄所能處理的所以議會決定你們五個人,攔緊解決啦你人攏為著自家王國正來這个這兜地動嚴重个程度毋係單單一個英雄有法度處理个所以議會決定你人五個人,lan53 gin31 goi31 guad24 la11 hen53 ngin53 lung31 bbui55 choo55 zi11 ga11 ong53 gud24 zhang31 loi53 lia24 e55 li24 deu11 ti55 tung11 ngiam53 chung11 e55 chin53 tu55 m11 he55 dan11 dan11 rhid24 gai31 en11 hiung53 rhiu11 fad24 tu55 chi31 li31 e11 su31 rhi31 ngi55 fui55 guad24 ten55 hen53 ngin53 m31 gai31 ngin53,,
0xheyi84z7.wav,要組成一個團隊怪不得有這些新衣服等等你要我們五個人一起合作是的路卡你們是一個新的組合團隊,愛組成一個團隊難怪有這兜新杉啊等下你愛𠊎五人作垺合作係啊 路卡你人係一個新个組合團隊,oi31 zu11 shin53 rhid24 gai31 tuan53 tui55 nan53 guai31 rhiu11 li24 deu11 sin11 sam11 a11 den31 ha55 hen53 oi31 ngai53 m31 ngin53 zoo24 pu53 hab43 zoo24 he55 a31 lu55 ka31 hen53 ngin53 he55 rhid24 gai31 sin11 gai31 zu11 hab43 tuan53 tui55,,
