檔名,中文,客語漢字,客語拼音,標籤,備註
ZM203P2027_001.wav,端午節要吃粽子,五月節愛食餡粽,m31 ngied43 zied24 oi31 shied43 ang11 zung31,,
ZM203P2027_002.wav,感冒要戴口罩,寒著愛戴嘴揞,hon53 choo55 oi31 doi31 zhe31 em11,,
ZM203P2027_003.wav,你哪裡不舒服,你哪位毋堵好,hen53 ni55 bbi55 m55 du31 hoo31,,
ZM203P2027_004.wav,你的手機幾號,你个手機幾*多號,hen53 e55 shiu31 gi11 gi31 *doo11 gio33 hoo55,,
ZM203P2027_005.wav,你的功課作好了沒,你个功課做好吂,hen53 e55 gung11 koo31 zoo31 hoo31 mang11,,
ZM203P2027_006.wav,我會小心一點,𠊎會細義一兜,ngai53 bbue55 se31 ngi55 rhid24 dio11,,
ZM203P2027_007.wav,很高興認識你,真歡喜識你,zhin11 fan11 hi31 shid24 hen53,,
ZM203P2027_008.wav,實在很難相信,實在足難相信,shid43 cai55 ziu24 nan53 siong11 sin31,,
ZM203P2027_009.wav,這個想法很好,這個想法真誠好,li24 gai31 siong55 fad24 zhin11 shiang53 hoo31,,
ZM203P2027_010.wav,謝謝你的照顧,勞力你个照顧,loo31 lad43 hen53 e55 zhio31 gu31,,
ZM203P2027_011.wav,可以嗎不可以,會用無毋會用,bbue55 rhung55 mo53 m11 bboi55 rhung55,,
ZM203P2027_012.wav,你會不會沒問題,你會無無問題,hen53 bbue55 mo53 mo53 mun55 te53,,
ZM203P2027_013.wav,我很愛吃青菜,𠊎真愛食青菜,ngai53 zhin11 oi31 shied43 ciang11 coi31,,
ZM203P2027_014.wav,我想學做麵包,𠊎想討學做麵包,ngai53 siong55 too31 hoo55 zoo31 mien55 bau11,,
ZM203P2027_015.wav,你要喝什麼飲料,你愛啉麼个飲料,hen53 oi31 lim11 bboo24 gai31 rhim31 leeu55,,
ZM203P2027_016.wav,叔叔不習慣穿西裝,阿叔毋會慣勢著西裝,a11 shu24 m11 bboi55 guan31 she31 zhoo24 se11 zong11,,
ZM203P2027_017.wav,這皮包是誰的,這個皮包係麼儕个,li24 gai31 pi53 bau11 he55 bboo24 sa53 gai31,,
ZM203P2027_018.wav,這雙鞋不太合腳,這雙鞋無幾合腳,li24 sung11 he53 mo53 gi31 hab43 gio24,,
ZM203P2027_019.wav,台灣不時有地震,臺灣不時有地動,tai53 bban53 bud24 shi53 rhiu11 ti55 tung11,,
ZM203P2027_020.wav,這裡的民宿很漂亮,這位个民宿真靚,li24 bbi55 e55 min53 su24 zhin11 ziang11,,
ZM203P2027_021.wav,這裡禁止吸菸,這位毋得食薰,li24 bbi55 m55 ded24 shied43 fun11,,
ZM203P2027_022.wav,上課不要打瞌睡,上課毋好啄睡,shong11 koo31 m55 hoo31 du24 fe55,,
ZM203P2027_023.wav,今天天氣很好,今日天氣真好,gin11 ngid24 teen11 ki31 zhin11 hoo31,,
ZM203P2027_024.wav,昨天忙了整天,昨日無閒歸日,ca11 ngid24 mo53 heen53 gui11 ngid24,,
ZM203P2027_025.wav,天氣變得很涼爽,天氣變到真涼爽,teen11 ki31 bien31 doo31 zhin11 liong53 song31,,
ZM203P2027_026.wav,明天早上再聯絡,韶日晨早正聯絡,shio53 ngid24 chin53 zoo31 zhang31 lien53 loo55,,
ZM203P2027_027.wav,妹妹背書包去上學,阿妹背書包去學校,a11 moi31 painn11 shi11 bau11 kui31 hoo55 hau55,,
ZM203P2027_028.wav,姊姊很喜歡吃蘿蔔糕,阿姊真愛食菜頭粄,a11 zi31 zhin11 oi31 shied43 coi31 teu53 ban31,,
ZM203P2027_029.wav,爸爸要去申請護照,阿爸討去申請護照,a11 ba55 too31 kui31 shin11 ciang31 fu55 zhio31,,
ZM203P2027_030.wav,慢慢走不用急,慢慢子行毋使攔緊,meen55 meen55 zu31 hang53 m55 su31 lan53 gin31,,
ZM203P2027_031.wav,冬天北部經常下雨,寒天北部不時落雨,hon53 teen11 bed24 pu55 bud24 shi53 loo55 bbu31,,
ZM203P2027_032.wav,別為了這個喪氣,毋好為著這來失志,m55 hoo31 bbui55 choo55 lia24 loi53 shid24 zhi31,,
ZM203P2027_033.wav,是誰打來的電話,係麼儕打來个電話,he55 bboo24 sa53 da31 loi53 e55 teen55 bba55,,
ZM203P2027_034.wav,垃圾要做資源回收,垃圾愛做資源回收,li31 sab24 oi31 zoo31 zu11 ngien53 fue53 shiu11,,
ZM203P2027_035.wav,請問需要什麼服務,請問愛麼个服務,ciang31 mun31 oi31 bboo24 gai31 fu55 bbu55,,
ZM203P2027_036.wav,恭喜發財新年快樂,恭喜發財新年快樂,giung11 hi31 fad24 cai53 sin11 neen53 kuai31 loo55,,
ZM203P2027_037.wav,我愛你他生氣了,𠊎愛你佢起性地啊,ngai53 oi31 hen53 gui53 ki31 sin31 ti55 a31,,
ZM203P2027_038.wav,今天的菜口味如何,今日个菜口味仰子,gin11 ngid24 e55 coi31 keu31 bbi55 ngiong55 zu31,,
ZM203P2027_039.wav,請不要在車裡吃東西,請毋好在車底食物件,ciang31 m55 hoo31 da55 cha11 de31 shied43 mi55 kien55,,
ZM203P2027_040.wav,學生要穿制服去學校,學生愛著制服去學校,hoo55 sen11 oi31 zhoo24 zhi31 fu55 kui31 hoo55 hau55,,
ZM203P2027_041.wav,伯伯住的樓房有電梯,阿伯蹛个樓屋有電梯,a11 be31 dai31 e55 leu53 bbu24 rhiu11 teen55 toi11,,
ZM203P2027_042.wav,我走路去郵局寄信,𠊎行去郵便局寄批,ngai53 hang53 kui31 rhiu53 pen55 kiu55 gi31 pe11,,
ZM203P2027_043.wav,我在十字路口等你,𠊎在十字路口等你,ngai53 da55 shib43 cu55 lu55 kio31 den31 hen53,,
ZM203P2027_044.wav,他這次用信用卡付款,佢這擺用信用卡納錢,gui53 li24 bai31 rhung55 sin31 rhung55 ka31 nab43 cien53,,
ZM203P2027_045.wav,弟弟通過認證考試了,阿弟通過認證考試啊,a11 te11 tung11 goo31 ngin55 zhin31 koo31 chi31 a31,,
ZM203P2027_046.wav,在網路上買東西很方便,在網路買物件真利便,da55 miong31 lu55 mi11 mi55 kien55 zhin11 li55 pien55,,
ZM203P2027_047.wav,新的工作你做得習慣嗎,新个頭路你做會慣勢無,sin11 e55 teu53 lu55 hen53 zoo31 bbue55 guan31 she31 mo53,,
ZM203P2027_048.wav,今天放假不必上學,今日歇睏毋使去學校,gin11 ngid24 hied24 kun31 m55 su31 kui31 hoo55 hau55,,
ZM203P2027_049.wav,休息一下好久不見,歇睏一下恁久無䀴著,hied24 kun31 rhid24 ha55 ngin31 giu31 mo53 ngiang31 choo55,,
ZM203P2027_050.wav,謝謝你不客氣對不起,勞力毋使細義失禮,loo31 lad43 m55 su31 se31 ngi55 shid24 li31,,
ZM203P2027_051.wav,不好意思沒關係拜託你,歹勢無要緊拜託你,painn31 she31 mo53 rhio31 gin31 bai31 too24 hen53,,
ZM203P2027_052.wav,你認識他嗎我不認識他,你識佢無𠊎毋識佢,hen53 shid24 gui53 mo53 ngai53 m11 shid24 gui53,,
ZM203P2027_053.wav,我好累我好高興,𠊎真悿𠊎真暢,ngai53 zhin11 tiam31 ngai53 zhin11 tiung31,,
ZM203P2027_054.wav,爸爸每天早上都要喝咖啡,阿怙逐晨早攏愛啉咖啡,a11 u24 tu55 chin53 zoo31 lung31 oi31 lim11 ga11 bi11,,
ZM203P2027_055.wav,他穿新褲子去外婆家,佢著新褲去外媽屋下,gui53 zhoo24 sin11 ku31 kui31 nguai55 ma53 bbu24 ha11,,
ZM203P2027_056.wav,請問這件衣服是什麼尺寸,請問這領衫係麼个寸尺,ciang31 mun31 li24 liang11 sam11 he55 bboo24 gai31 cun31 cha24,,
ZM203P2027_057.wav,這麼吵你怎麼受得了,恁吵你仰子拄會核,ngin31 cau31 hen53 ngiong55 zu31 du31 bbue55 hed43,,
ZM203P2027_058.wav,他們每天晚上都要去補習,佢人逐暗夜攏愛去補習,gui53 ngin53 tu55 am31 rhia55 lung31 oi31 kui31 bu31 sib24,,
ZM203P2027_059.wav,夏天大家比較喜歡去海邊玩,熱天大家較愛去海脣尞,ngied43 teen11 tai55 ga11 ka31 oi31 kui31 hoi31 fin53 liau55,,
ZM203P2027_060.wav,生病要快點去看醫生,有病愛較緊去得先生䀴,rhiu11 piang55 oi31 ka31 gin31 kui31 ded24 sien11 sen11 ngiang31,,
ZM203P2027_061.wav,今天的報紙你看了嗎,今日个報紙你有䀴無,gin11 ngid24 e55 boo31 zhi31 hen53 rhiu11 ngiang31 mo53,,
ZM203P2027_062.wav,我昨晚失眠睡不著,𠊎昨暗夜失眠啊,ngai53 ca11 am31 rhia55 shid24 min53 a31,,
ZM203P2027_063.wav,表哥每天都很認真工作,表大逐日攏真認真做事,bio31 tai55 tu55 ngid24 lung31 zhin11 ngin55 zhin11 zoo31 she55,,
ZM203P2027_064.wav,晚上開車要比較小心一點,暗夜時駛車愛擱較注意,am31 rhia55 shi53 su31 cha11 oi31 goo24 ka31 zhi31 rhi31,,
ZM203P2027_065.wav,請問可以找誰幫忙,請問會用尋麼儕鬥相共,ciang31 mun31 bbue55 rhung55 cim53 bboo24 sa53 deu31 siong11 kung55,,
ZM203P2027_066.wav,讓我想一下,得𠊎想一下,ded24 ngai53 siong55 rhid24 ha55,,
ZM203P2027_067.wav,你住哪裡有人在家嗎,你蹛哪位有人在屋下無,hen53 dai31 ni55 bbi55 rhiu11 ngin53 da55 bbu24 ha11 mo53,,
ZM203P2027_068.wav,我回來了你要去哪裡,𠊎轉來啊你討去哪位,ngai53 zhen31 loi53 a31 hen53 too31 kui31 ni55 bbi55,,
ZM203P2027_069.wav,早安吃飽飯了嗎最近好嗎,𠢕早食飽吂這站好無,ngau53 zoo31 shied43 bau31 mang11 li24 cam55 hoo31 mo53,,
ZM203P2027_070.wav,好可愛喔好討厭喔,真得人惜哦真得人慼哦,zhin11 ded24 ngin53 sia24 o11 zhin11 ded24 ngin53 cied24 o11,,
ZM203P2027_071.wav,你好棒啊哪裡哪裡,你真慶哦哪有無影啦,hen53 zhin11 kiang31 o11 na55 rhiu11 mo53 rhiang31 la11,,
ZM203P2027_072.wav,我們經常一起團購美食,𠊎人輒輒作垺合買美食,ngai53 ngin53 ciab43 ciab43 zoo24 pu53 hab43 mi11 mi31 shied43,,
ZM203P2027_073.wav,發霉的東西就不能吃了,生菇个物件即毋會用食啊,sang11 gu11 e55 mi55 kien55 cid43 m11 bboi55 rhung55 shied43 a31,,
ZM203P2027_074.wav,明天可以在家打電動,韶日會用在屋下打電動,shio53 ngid24 bbue55 rhung55 da55 bbu24 ha11 da31 teen55 tung11,,
ZM203P2027_075.wav,一起去公園運動,共下來去公園運動啦,kung55 ha55 lai53 kui31 gung11 bbien53 bbin55 tung55 la11,,
ZM203P2027_076.wav,這條路比較近那條路比較遠,這條路較近遐條路較遠,li24 tiau53 lu55 ka31 kun11 ga24 tiau53 lu55 ka31 bbien31,,
ZM203P2027_077.wav,喝酒不開車開車不喝酒,啉酒莫駛車駛車莫啉酒,lim11 ziu31 mai31 su31 cha11 su31 cha11 mai31 lim11 ziu31,,
ZM203P2027_078.wav,我忙得不可開交,𠊎無閒到無閒挾掣,ngai53 mo53 heen53 doo31 mo53 heen53 giab24 cheed24,,
ZM203P2027_079.wav,爸爸不在家媽媽還沒回家,阿怙無在屋下阿依猶吂轉,a11 u24 mo53 da55 bbu24 ha11 a11 i55 ia53 mang11 zhen31,,
ZM203P2027_080.wav,再見慢走有空來玩,正來尞順行有閒正來尞,zhang31 loi53 liau55 shin55 hang53 rhiu11 heen53 zhang31 loi53 liau55,,
