檔名,中文,客語漢字,客語拼音,標籤,備註
ktwue8w54j.wav,阿爾伯爾和他父親的交通工具只是騎馬然而唯一的好理由是吉爾吉斯位於中國和哈薩克的交界一眼望去都是一大片的山丘,阿爾伯爾同厥爸个交通工具單淨係騎馬毋過唯一个好理由係吉爾吉斯位在中國同哈薩克个交界看啊過去總下係歸大片个山,a33 ni33 bag21 ni33 tung113 gia33 ba33 gai33 gau33 tung33 gung33 ki31 dan33 ciang53 he53 ki113 ma33 m113 go53 vui113 rhid21 gai33 ho31 li33 rhiu113 he53 gid21 ni33 gid21 sii33 vui53 to33 zhung33 guad21 tung113 ha33 sad21 kied21 gai33 gau33 gai53 kon53 a33 go53 ki53 zung31 ha53 he53 gui33 tai53 pien31 gai33 san33,,
lgf930ms34.wav,在雪地下生長著杜松阿爾伯爾他的母親請家裡年紀最小的他幫她摘一些回來,在雪地下有生杜松阿爾伯爾厥姆請屋家盡細漢个佢替佢摘兜轉來,to33 sied21 ti53 ha33 rhiu33 sang33 tu53 ciung113 a33 ni33 bag21 ni33 gia33 me33 ciang31 vug21 ka33 cin53 se53 hon53 gai33 gi113 te53 gi113 zag21 deu33 zhon31 loi113,,
bqq51ra121.wav,兩天前狼群殺死了鄰村的馬,兩日進前狼群㓾死隔壁村个馬,liong31 ngid21 zin53 cien113 long113 kiun113 chi113 si31 gag21 biag21 cun33 gai33 ma33,,
go0t0d80x8.wav,為了保護他們的牛群阿爾伯爾他父親照顧他們的牛所以他今天沒有上學他陪伴著他的父親,為著保護厥等个牛群阿爾伯爾厥爸來照顧厥等个牛所以佢今晡無去學校佢同厥爸作伴,vui53 do31 bo31 fu53 gia33 nen35 gai33 ngiu113 kiun113 a33 ni33 bag21 ni33 gia33 ba33 loi113 zheu53 gu53 gia33 nen35 gai33 ngiu113 so31 rhi113 gi113 gim33 bi35 mo113 ki53 hog54 gau31 gi113 tung113 gia33 ba33 zog21 pan33,,
17mrfu6lu3.wav,他們找到狼群的足跡就在他們家附近,厥等尋著狼群个腳跡斯在厥等屋家附近,gia33 nen35 cim113 do31 long113 kiun113 gai33 giog21 ziag21 sii33 to33 gia33 nen35 vug21 ka33 fu53 kiun53,,
7zzn1pc55q.wav,像他這樣的年紀這是一個生存的問題如果狼群裡其中一隻的狼陷入陷阱中其他的狼群就會逃離並遠離這裡在阿爾伯爾上學的前一天,像佢恁泥个年歲這係一個生存个問題可比狼群其中一隻个狼著著綹其他个狼斯會走撇會遠離這位在阿爾伯爾上學个前一日,ciong53 gi113 an31 ne113 gai33 ngien113 se53 lia31 he53 rhid21 gai53 sen33 sun113 gai33 mun53 ti113 ko31 bi31 long113 kiun113 ki113 zhung33 rhid21 zhag21 gai33 long113 chog54 do31 liu53 ki113 ta33 gai33 long113 sii33 voi33 zeu31 ped21 voi33 rhen31 li113 lia31 vui53 to33 a33 ni33 bag21 ni33 shong53 hog54 gai33 cien113 rhid21 ngid21,,
0m7u46n4eg.wav,會做一些預防措施,會做兜預防措施,voi33 zo53 deu33 rhi53 fong113 cog21 shi33,,措施 cog21 shi33
rmsddpg2n0.wav,阿爾伯爾非常喜歡他的馬布魯是他的好夥伴不僅是如此也是他上學的唯一交通工具,阿爾伯爾當中意厥馬布魯係佢个好伴毋單淨係恁泥乜係佢去學校唯一个交通工具,a33 ni33 bag21 ni33 dong33 zhung53 rhi53 gia33 ma33 bu53 lu33 he53 gi113 gai33 ho31 pan33 m113 dan33 ciang53 he53 an31 ne113 me33 he53 gi113 ki33 hog54 gau31 vui113 rhid21 gai33 gau33 tung33 gung33 ki31,,
1nhfxj684f.wav,阿爾伯爾很小的時候總是看著他的母親用完全相同的方式做這件事情為了淨化房子她開始向四周燃燒杜松從東邊開始到北邊結束,阿爾伯爾當細漢个時節總係看緊厥姆用完全共款个方式做這件事情為著淨化屋佢開始向四周圍燒杜松對東片開始到北片結束,a33 ni33 bag21 ni33 dong33 se53 hon53 gai33 shi113 zied21 zung31 he53 kon53 gin31 gia33 me33 rhung53 van113 cion113 kiung53 kuan31 gai33 fong33 shid21 zo53 lia31 kien53 sii53 cin113 vui53 do31 ciang53 fa53 vug21 gi113 koi33 chi31 hiong53 si53 zhiu33 vui113 sheu33 tu53 ciung113 dui53 dung33 pien31 koi33 chi31 do53 bed21 pien31 gied21 sug21,,
egbotwpuqx.wav,他們家的小房子沒水沒電他們必需從埋在雪地中的溪流中取水,厥等屋家个細屋無水無電厥等定著愛對埋在雪地項个河壩水來取水,gia33 nen35 vug21 ka33 gai33 se53 vug21 mo113 shui31 mo113 tien53 gia33 nen35 tin53 chog54 oi33 dui53 me113 to33 sied21 ti53 hong33 gai33 ho113 ba53 shui31 loi113 ci31 shui31,,
7edtksmuxa.wav,阿爾伯爾是他那些尚未去上學的表弟妹心中的英雄他對這種關心感到驕傲並且非常高興地介紹上學的半途中遇見的冒險,阿爾伯爾係佢該兜還吂去學校讀書个表老弟表老妹心肝肚个英雄佢對這種个關心試著當沙鼻乜當歡喜來紹介上學个半爛燦堵著个冒險,a33 ni33 bag21 ni33 he53 gi113 gai53 deu33 han113 mang113 ki33 hog54 gau31 tug54 shu33 gai33 biau31 lo31 te33 biau31 lo31 moi53 sim33 gon33 du31 gai33 rhin33 hiung113 gi113 dui53 lia31 zhung31 gai33 guan33 sim33 chi53 do31 dong33 sa33 pi53 me33 dong33 fan33 hi31 loi113 sheu53 gai53 shong53 hog54 gai33 ban53 lan53 can53 du113 do31 gai33 mo53 hiam31,,
xgk0avacey.wav,這是激發他表弟想上學的好方式,這係激發厥表老弟想愛讀書個好方式,lia31 he53 gid21 fad21 gia33 biau31 lo31 te33 siong31 oi33 tug54 shu33 gai53 ho31 fong33 shid21,,
0517k9bwki.wav,阿爾伯爾早上出門去上學他的媽媽很擔心他的安全她兒子都要看天氣以及獨自一個人行走增加了很多的挑戰性無論遇到如何的狀況,阿爾伯爾朝脣出門去學校厥姆當愁厥个安全厥倈做下愛看天時還有自家一個人行增加當多个挑戰性毋管堵到仰脣樣个狀況,a33 ni33 bag21 ni33 zheu33 shun113 chud21 mun113 ki33 hog54 gau31 gia33 me33 dong33 seu113 gia33 gai33 on33 cion113 gia33 lai53 zo53 ha53 oi33 kon53 tien33 shi113 han113 rhiu33 ci33 ga33 rhid21 gai53 ngin113 hang113 zen53 ga33 dong33 do33 gai33 tiau33 zhen53 sin53 m113 guan31 du113 do53 ngiong31 shun113 rhong53 gai33 cong53 kong31,,
dlh9437izm.wav,她的兒子都必需自己去面對,厥倈定著愛自家來面對,gia33 lai53 tin53 chog54 oi33 ci33 ga33 loi113 mien53 dui53,,
8qvlnyu835.wav,她需要聽著她兒子說不需要擔心太多並且他也會準時到校,佢愛聽厥倈講毋使愁忒多還有佢乜會準時到學校,gi113 oi33 ten33 gia33 lai53 gong31 m113 sii31 seu113 ted21 do33 han113 rhiu33 gi113 me33 voi33 zhun31 shi113 do53 hog54 gau31,,
oh1r7ta4oc.wav,他為將來成功所做的努力,佢為將來成功所做个努力,gi113 vui53 ziong33 loi113 shin113 gung33 so31 zo53 gai33 nu33 lid54,,
qc8r0x9nt4.wav,最重要的就是要讓他父親相信如果阿爾伯爾成功在學業上將來會擁有美好的未來這一點非常重要,盡重要斯係愛分厥爸相信可比阿爾伯爾成功在學業方面將來會有當好个未來這點當重要,cin53 chung53 rheu53 sii33 he53 oi33 bun33 gia33 ba33 siong33 sin53 ko31 bi31 a33 ni33 bag21 ni33 shin113 gung33 to33 hog54 ngiab54 fong33 mien53 ziong33 loi113 voi33 rhiu33 dong33 ho31 gai33 vui53 loi113 lia31 diam31 dong33 chung53 rheu53,,
